115,200,-230
228,-86,189
143,83,-15
-114,126,8
27,152,154
-291,84,290
-230,-121,-163
239,187,-249
-144,-102,-97
-95,-98,-64
-86,-133,32
-147,108,-120
170,-76,91
-73,174,-90
-198,18,-6
26,-81,38
-281,-134,245
-199,24,78
74,162,-47
-178,195,217
-146,221,238
151,-44,6
5,-253,-186
301,-66,-308
28,319,-205
-240,40,-162
102,-154,-124
8,-132,-35
-122,-18,-120
-212,-14,-188
94,-165,-129
179,-45,-104
-91,179,-129
119,283,247
-178,-98,-190
-69,241,199
258,-102,276
-38,259,17
198,17,-80
52,102,112
-70,242,-212
41,196,155
71,76,84
71,61,68
16,-79,-73
-67,-309,297
-43,-181,-129
321,-12,-118
-56,94,103
-17,255,213
144,238,52
122,39,90
192,158,-244
-77,-296,295
-75,0,25
-19,203,164
94,26,-68
89,-24,-22
0,314,-179
112,-45,99
83,291,-277
103,-70,-32
34,-128,-84
91,-116,62
274,131,-276
-170,-154,-217
82,227,141
210,22,13
-44,214,96
19,-148,-28
-132,120,172
-33,-86,-88
12,-77,67
-140,216,-257
32,-161,-51
-205,89,224
-91,-80,-84
74,-98,-97
-21,88,79
258,-177,-195
145,36,-118
73,42,65
-286,17,121
117,126,70
56,206,-183
115,-146,130
-70,-47,-84
-141,38,-73
78,36,-68
-199,-80,105
-4,-226,-203
103,114,-121
180,-163,177
97,-20,-1
172,33,-166
-298,100,-242
-69,51,45
-29,-154,-157
-107,120,-135
-236,44,121
-96,-1,79
-154,-80,-153
70,-139,-122
18,-212,135
-62,-58,-81
80,-124,-128
-5,-102,-101
-158,-65,-16
33,237,-206
-32,-297,-261
-103,73,-107
-116,171,-91
-39,-96,-28
115,229,19
134,79,-94
-148,148,132
-82,-88,119
9,-281,268
12,-124,97
-218,34,-219
-121,207,-207
283,-16,207
138,31,-58
-19,-254,-7
81,-61,-85
189,101,-83
168,-172,162
167,-74,183
190,-103,211
228,121,-174
116,42,-123
-38,65,-73
-274,-24,65
-35,-274,-245
-130,144,-169
275,156,-313
-98,109,30
16,99,101
14,-190,-102
-130,-99,-124
91,48,-103
-220,61,16
-65,-130,55
263,92,-277
208,204,-175
-110,-16,-108
68,44,-30
113,-160,118
-14,116,-54
65,-43,44
-181,-234,230
-263,150,-49
-172,-6,-167
171,-12,55
-161,259,295
-24,-225,171
225,50,-110
-216,14,155
45,94,-72
21,-169,-43
36,-82,-28
131,-194,115
129,190,182
278,64,48
22,154,152
62,-65,82
12,-271,217
-123,59,135
66,146,158
-256,163,302
-231,-196,-52
-308,-74,21
117,3,-48
-56,-128,46
184,44,-77
55,-65,-34
236,87,250
-67,39,5
141,-181,-71
112,-29,10
-168,197,35
6,100,-93
-55,108,58
118,206,194
-248,-13,-246
32,85,-89
101,245,204
301,76,-238
-71,-271,262
-235,-220,103
-56,-96,-90
168,-70,47
-46,59,-17
297,-9,-63
-61,-260,-43
-204,102,-202
40,-137,120
-7,-323,-88
54,66,-42
-302,99,84
-164,238,286
95,28,-98
27,-190,98
44,66,-58
-84,-94,125
48,-232,224
90,157,-172
-40,255,-197
103,12,77
-73,-81,-75
237,-185,103
84,49,-45
70,-58,69
-247,201,-276
-183,-162,15
39,74,-25
65,52,-45
142,80,-136
-215,178,279
-239,-101,195
114,7,114
-73,144,100
150,-123,-179
-156,-242,169
71,168,163
69,-58,69
-121,70,-140
-1,-206,-110
-220,145,-98
-40,64,46
-187,-196,-267
-230,-180,36
-60,-287,289
141,271,-296
-39,-149,-55
89,8,54
-61,-59,-54
-241,165,-235
-210,168,200
101,-78,-36
-116,-224,134
-140,-123,-149
-289,-127,-221
54,72,-90
-191,-79,58
-228,-181,-292
-19,219,-206
-13,233,120
-164,129,-134
130,-7,91
